FIELD	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36
Stranded_Rule_Code	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
READ_PAIR_OK	22036933	21907221	18489038	19945293	20159282	17757834	19633146	22248965	17822737	17034718	18811628	20592673	20111577	17851078	20756873	19404358	18650458	19377028	19837359	21776768	20200396	17951604	18394716	20148160	16861494	20570175	21148918	20086611	20051593	20439152	19931632	20853863	21356634	21303067	23917141	23262379
TOTAL_READ_PAIRS	24059925	23747796	20438017	21941518	21643725	19791957	21910402	24237216	20371875	18880679	21296891	22876599	22331609	19951370	22946420	21457084	20742467	22461613	21444640	23427251	22184625	22246805	20615399	21699070	18746114	22882380	23139656	22326571	22973567	22786870	22997319	22593600	23274858	22792669	25485016	24810068
DROPPED_NOT_PROPER_PAIR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DROPPED_READ_FAILS_VENDOR_QC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DROPPED_MARKED_NOT_VALID	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DROPPED_CHROMS_MISMATCH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DROPPED_PAIR_STRANDS_MISMATCH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DROPPED_IGNORED_CHROMOSOME	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DROPPED_NOT_UNIQUE_ALIGNMENT	2022992	1840575	1948979	1996225	1484443	2034123	2277256	1988251	2549138	1845961	2485263	2283926	2220032	2100292	2189547	2052726	2092009	3084585	1607281	1650483	1984229	4295201	2220683	1550910	1884620	2312205	1990738	2239960	2921974	2347718	3065687	1739737	1918224	1489602	1567875	1547689
KEPT_NOT_UNIQUE_ALIGNMENT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
minObservedReadLength	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101
maxObservedReadLength	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101
maxLegalPhredScore	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41
IS_SINGLE_END	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
